study_obs_count,study,intervention_scale,arm_scale,intervention,arm,outcome,covidence,timepoint,scale,model_type,mean,r,n,sd,percent,se,range,median,ci,intervals,iqr,limits,dose_extract,type,class,chronic_condition,main_aim,design,title,sponsorship_source,authors_name,duration_weeks,pain_duration,inclusion_criteria,exclusion_criteria,total_number_of_participants_randomised,number_in_each_arm_comparators_treatments,number_in_each_arm_intervention_comparators,type_of_participant_e_g_people_with_cancer,type_of_participant_e_g_people_with_cancer_2,intervention_adverse_events,intervention_adverse_events_n_percent,withdrawal_total_per_arm_n_percent,withdrawal_total_percent,withdrawal_total_n,condition,condition_general,condition_iasp
4,aragona 2005,citalopram x mcgill_pain_questionnaire,citalopram - 40mg x mcgill_pain_questionnaire,citalopram,citalopram - 40mg,pain_int,pain_intensity_mc_gill_pain_questionnaire_post_intervention,post_int,mcgill_pain_questionnaire,smd,2.8,NA,15,0.9,NA,0.232379000772445,NA,NA,NA,NA,NA,NA,,antidepressant,ssri,"somatoform, dsm-iv-tr pain disorder",pain,parallel group,"randomized double-blind comparison of serotonergic (citalopram) versus noradrenergic (reboxetine) reuptake inhibitors in outpatients with somatoform, dsm-iv-tr pain disorder",nr,massimiliano aragona,NA,nr,"the dsm-iv-tr (american psychiatric association,2000) ‘‘pain disorder’’ is characterized by pain in one or more anatomical sites. pain predominates the clinical presentation and is sufficiently severe to cause severe distress or social–occupational impairment. pain is linked to psychological factors that influence its onset, severity, exacerbation and maintenance.

all patients recruited were assessed with a two-step diagnostic procedure: (i) they firstly underwent diagnostic assessment and clinical examination by a neurologist, who excluded pain from neurological causes or organic pain symptoms, followed as necessary by laboratory tests, brain imaging (computed tomographic scan or magnetic resonance imaging, or both) and neurophysiological studies; (ii) a psychiatrist then clinically assessed the role of psychopathological components in the pain disorder. a first diagnostic interview was followed by two or more interviews focused on the analysis of: (i) psy-chopathological factors and personality features which may render the subject vulnerable to the development of somatoform pain symptoms (e.g. alexithymic, hysterical or hypochondriac traits); (ii) systemic-relational problems; and (iii) stressful life-events. all these factors were evaluated focusing on their possible relationship with the onset and the development of pain symptoms. moreover, rating scales, checklists, and projective tests were avail-able to be used by a clinical psychologist if diagnostic doubts and psycho(patho)logical functioning had to be further explored. a final diagnostic consensus was reached through a group discussion among clinicians.to be included in the study patients had to pass the two steps of this diagnostic procedure, expressly designed to minimize within-category heterogeneity (perinelliet al., 2001). in other words, both the negative (exclusion of a direct organic explanation) and positive (presence of psychological factors that might have influenced the onset and/or the clinical course of pain symptomatology)criteria had to be present.","exclusion criteria included pregnancy, medical conditions of clinical importance, and a diagnosis of another mental disorder",35,"citalopram: 17
reboxetine: 18",NA,all patients were of the subtype ‘‘pain disorder associated with psychological factors’’,NA,2 withdrew due to aes,NA,"total pre: 35, post: 29 withdrew: 6.",NA,NA,unspecified chronic pain syndrome,primary,primary
4,aragona 2005,citalopram x mcgill_pain_questionnaire,citalopram - 40mg x mcgill_pain_questionnaire,citalopram,citalopram - 40mg,pain_int,pain_mc_gill_pain_questionnaire_total_pain_rating_index_post_intervention,post_int,mcgill_pain_questionnaire,smd,30,NA,15,19.02,NA,4.910942882991004,NA,NA,NA,NA,NA,NA,,antidepressant,ssri,"somatoform, dsm-iv-tr pain disorder",pain,parallel group,"randomized double-blind comparison of serotonergic (citalopram) versus noradrenergic (reboxetine) reuptake inhibitors in outpatients with somatoform, dsm-iv-tr pain disorder",nr,massimiliano aragona,NA,nr,"the dsm-iv-tr (american psychiatric association,2000) ‘‘pain disorder’’ is characterized by pain in one or more anatomical sites. pain predominates the clinical presentation and is sufficiently severe to cause severe distress or social–occupational impairment. pain is linked to psychological factors that influence its onset, severity, exacerbation and maintenance.

all patients recruited were assessed with a two-step diagnostic procedure: (i) they firstly underwent diagnostic assessment and clinical examination by a neurologist, who excluded pain from neurological causes or organic pain symptoms, followed as necessary by laboratory tests, brain imaging (computed tomographic scan or magnetic resonance imaging, or both) and neurophysiological studies; (ii) a psychiatrist then clinically assessed the role of psychopathological components in the pain disorder. a first diagnostic interview was followed by two or more interviews focused on the analysis of: (i) psy-chopathological factors and personality features which may render the subject vulnerable to the development of somatoform pain symptoms (e.g. alexithymic, hysterical or hypochondriac traits); (ii) systemic-relational problems; and (iii) stressful life-events. all these factors were evaluated focusing on their possible relationship with the onset and the development of pain symptoms. moreover, rating scales, checklists, and projective tests were avail-able to be used by a clinical psychologist if diagnostic doubts and psycho(patho)logical functioning had to be further explored. a final diagnostic consensus was reached through a group discussion among clinicians.to be included in the study patients had to pass the two steps of this diagnostic procedure, expressly designed to minimize within-category heterogeneity (perinelliet al., 2001). in other words, both the negative (exclusion of a direct organic explanation) and positive (presence of psychological factors that might have influenced the onset and/or the clinical course of pain symptomatology)criteria had to be present.","exclusion criteria included pregnancy, medical conditions of clinical importance, and a diagnosis of another mental disorder",35,"citalopram: 17
reboxetine: 18",NA,all patients were of the subtype ‘‘pain disorder associated with psychological factors’’,NA,2 withdrew due to aes,NA,"total pre: 35, post: 29 withdrew: 6.",NA,NA,unspecified chronic pain syndrome,primary,primary
4,aragona 2005,reboxetine x mcgill_pain_questionnaire,reboxetine - 8mg x mcgill_pain_questionnaire,reboxetine,reboxetine - 8mg,pain_int,pain_intensity_mc_gill_pain_questionnaire_post_intervention,post_int,mcgill_pain_questionnaire,smd,3.1,NA,14,0.9,NA,0.24053511772118197,NA,NA,NA,NA,NA,NA,,antidepressant,nari,"somatoform, dsm-iv-tr pain disorder",pain,parallel group,"randomized double-blind comparison of serotonergic (citalopram) versus noradrenergic (reboxetine) reuptake inhibitors in outpatients with somatoform, dsm-iv-tr pain disorder",nr,massimiliano aragona,NA,nr,"the dsm-iv-tr (american psychiatric association,2000) ‘‘pain disorder’’ is characterized by pain in one or more anatomical sites. pain predominates the clinical presentation and is sufficiently severe to cause severe distress or social–occupational impairment. pain is linked to psychological factors that influence its onset, severity, exacerbation and maintenance.

all patients recruited were assessed with a two-step diagnostic procedure: (i) they firstly underwent diagnostic assessment and clinical examination by a neurologist, who excluded pain from neurological causes or organic pain symptoms, followed as necessary by laboratory tests, brain imaging (computed tomographic scan or magnetic resonance imaging, or both) and neurophysiological studies; (ii) a psychiatrist then clinically assessed the role of psychopathological components in the pain disorder. a first diagnostic interview was followed by two or more interviews focused on the analysis of: (i) psy-chopathological factors and personality features which may render the subject vulnerable to the development of somatoform pain symptoms (e.g. alexithymic, hysterical or hypochondriac traits); (ii) systemic-relational problems; and (iii) stressful life-events. all these factors were evaluated focusing on their possible relationship with the onset and the development of pain symptoms. moreover, rating scales, checklists, and projective tests were avail-able to be used by a clinical psychologist if diagnostic doubts and psycho(patho)logical functioning had to be further explored. a final diagnostic consensus was reached through a group discussion among clinicians.to be included in the study patients had to pass the two steps of this diagnostic procedure, expressly designed to minimize within-category heterogeneity (perinelliet al., 2001). in other words, both the negative (exclusion of a direct organic explanation) and positive (presence of psychological factors that might have influenced the onset and/or the clinical course of pain symptomatology)criteria had to be present.","exclusion criteria included pregnancy, medical conditions of clinical importance, and a diagnosis of another mental disorder",35,"citalopram: 17
reboxetine: 18",NA,all patients were of the subtype ‘‘pain disorder associated with psychological factors’’,NA,4 withdrew due to aes,NA,"total pre: 35, post: 29 withdrew: 6.",NA,NA,unspecified chronic pain syndrome,primary,primary
4,aragona 2005,reboxetine x mcgill_pain_questionnaire,reboxetine - 8mg x mcgill_pain_questionnaire,reboxetine,reboxetine - 8mg,pain_int,pain_mc_gill_pain_questionnaire_total_pain_rating_index_post_intervention,post_int,mcgill_pain_questionnaire,smd,31.5,NA,14,16.16,NA,4.318941669304778,NA,NA,NA,NA,NA,NA,,antidepressant,nari,"somatoform, dsm-iv-tr pain disorder",pain,parallel group,"randomized double-blind comparison of serotonergic (citalopram) versus noradrenergic (reboxetine) reuptake inhibitors in outpatients with somatoform, dsm-iv-tr pain disorder",nr,massimiliano aragona,NA,nr,"the dsm-iv-tr (american psychiatric association,2000) ‘‘pain disorder’’ is characterized by pain in one or more anatomical sites. pain predominates the clinical presentation and is sufficiently severe to cause severe distress or social–occupational impairment. pain is linked to psychological factors that influence its onset, severity, exacerbation and maintenance.

all patients recruited were assessed with a two-step diagnostic procedure: (i) they firstly underwent diagnostic assessment and clinical examination by a neurologist, who excluded pain from neurological causes or organic pain symptoms, followed as necessary by laboratory tests, brain imaging (computed tomographic scan or magnetic resonance imaging, or both) and neurophysiological studies; (ii) a psychiatrist then clinically assessed the role of psychopathological components in the pain disorder. a first diagnostic interview was followed by two or more interviews focused on the analysis of: (i) psy-chopathological factors and personality features which may render the subject vulnerable to the development of somatoform pain symptoms (e.g. alexithymic, hysterical or hypochondriac traits); (ii) systemic-relational problems; and (iii) stressful life-events. all these factors were evaluated focusing on their possible relationship with the onset and the development of pain symptoms. moreover, rating scales, checklists, and projective tests were avail-able to be used by a clinical psychologist if diagnostic doubts and psycho(patho)logical functioning had to be further explored. a final diagnostic consensus was reached through a group discussion among clinicians.to be included in the study patients had to pass the two steps of this diagnostic procedure, expressly designed to minimize within-category heterogeneity (perinelliet al., 2001). in other words, both the negative (exclusion of a direct organic explanation) and positive (presence of psychological factors that might have influenced the onset and/or the clinical course of pain symptomatology)criteria had to be present.","exclusion criteria included pregnancy, medical conditions of clinical importance, and a diagnosis of another mental disorder",35,"citalopram: 17
reboxetine: 18",NA,all patients were of the subtype ‘‘pain disorder associated with psychological factors’’,NA,4 withdrew due to aes,NA,"total pre: 35, post: 29 withdrew: 6.",NA,NA,unspecified chronic pain syndrome,primary,primary
4,atkinson 1998,placebo,placebo,placebo,placebo,pain_int,pain_intensity_descriptor_differential_scale_post_intervention_change_in_score,post_int,descriptor_differential_scale,smd,0.91,NA,40,3.43,NA,0.542330618718877,NA,NA,NA,NA,NA,NA,,placebo,NA,chronic low back pain,pain,parallel group,"a placebo-controlled randomized clinical trial of nortriptyline for chronic low back pain. to enhance generalizability to the ‘usual’ back pain patient, the study sample was recruited from primary care populations and community volunteers, rather than from pain clinic settings.","this  work  was  supported  in  part  by  the  united  statesdepartment of veterans affairs, and by the national insti-tutes  of  health  grant  mo1-rr00827.",j. hampton atkinson,NA,at least 6 months. 	(m (sd) years) c: 13.58 ± 12.94 t: 16.04 ± 11.25,inclusion  criteria were  (1)  age  21–65  years;  (2)  low  back  pain  (at  t-6  or below) present on a daily basis for the preceding 6 months or  longer;  and  (3)  able  to  understand  the  study  measures (based  on  an  8th  grade  literacy  level).,"individuals  were excluded  for  (1)  major  coexisting  medical  illness  (e.g.chronic  obstructive  pulmonary  disease  or  cardiac  disease, which  might  confound  assessment  of  function  or  health-related  quality  of  life);  (2)  coexisting  orthopedic  or  paind isorder  other than  those  related  to the  lumbar  lesion;  (3)current mood disorder (e.g. major depression, dysthymia, or bipolar  mood  disorder);  and  (4)  history  of a  psychoactive substance  use  disorder  within  the  preceding  12  months. individuals were required to discontinue opioid analgesics(e.g.  codeine)  for   the   duration  of  the   study,  although ongoing  use  of  non-opioids  (e.g.  aspirin,  non-steroidal anti-inflammatory drugs) was permitted.",78,"c: 40
t: 38
",NA,men with chronic low back pain,NA,"the prevalence  of side effects was high (100% in both groups for any effect reported for any week on study), particularly for dry mouth, insomnia, sedation, and lightheadedness. in general the frequency of side effects was higher for nortriptyline than for placebo, but none of these differences   was   statistically   significant   (chi   square,   all p’s.0.05).",NA,"placebo: 11 (2x time burden; 1x dislike venipuncture, 1x protocol violation; 1x chest pain, 1xpain unchanged or worse; 1x mood worse, 2x no specified reason, 1x lost to follow up) nortriptyline: 10 (4x time burden; 1x headaches; 1x rash; 3x pain unchanged or worse; 1x lost to follow up)	total pre: 78, post: 57, 21 withdrew (26.9%) c pre: 40 post: 29, 11 withdrew (27.5%) t pre: 38 post: 28, 10 withdrew (26.3%)",NA,NA,low back pain,musculoskeletal,primary
4,atkinson 1998,placebo,placebo,placebo,placebo,pain_int,pain_unpleasantness_descriptor_differential_scale_post_intervention_change_in_score,post_int,descriptor_differential_scale,smd,1.25,NA,40,3.6,NA,0.5692099788303082,NA,NA,NA,NA,NA,NA,,placebo,NA,chronic low back pain,pain,parallel group,"a placebo-controlled randomized clinical trial of nortriptyline for chronic low back pain. to enhance generalizability to the ‘usual’ back pain patient, the study sample was recruited from primary care populations and community volunteers, rather than from pain clinic settings.","this  work  was  supported  in  part  by  the  united  statesdepartment of veterans affairs, and by the national insti-tutes  of  health  grant  mo1-rr00827.",j. hampton atkinson,NA,at least 6 months. 	(m (sd) years) c: 13.58 ± 12.94 t: 16.04 ± 11.25,inclusion  criteria were  (1)  age  21–65  years;  (2)  low  back  pain  (at  t-6  or below) present on a daily basis for the preceding 6 months or  longer;  and  (3)  able  to  understand  the  study  measures (based  on  an  8th  grade  literacy  level).,"individuals  were excluded  for  (1)  major  coexisting  medical  illness  (e.g.chronic  obstructive  pulmonary  disease  or  cardiac  disease, which  might  confound  assessment  of  function  or  health-related  quality  of  life);  (2)  coexisting  orthopedic  or  paind isorder  other than  those  related  to the  lumbar  lesion;  (3)current mood disorder (e.g. major depression, dysthymia, or bipolar  mood  disorder);  and  (4)  history  of a  psychoactive substance  use  disorder  within  the  preceding  12  months. individuals were required to discontinue opioid analgesics(e.g.  codeine)  for   the   duration  of  the   study,  although ongoing  use  of  non-opioids  (e.g.  aspirin,  non-steroidal anti-inflammatory drugs) was permitted.",78,"c: 40
t: 38
",NA,men with chronic low back pain,NA,"the prevalence  of side effects was high (100% in both groups for any effect reported for any week on study), particularly for dry mouth, insomnia, sedation, and lightheadedness. in general the frequency of side effects was higher for nortriptyline than for placebo, but none of these differences   was   statistically   significant   (chi   square,   all p’s.0.05).",NA,"placebo: 11 (2x time burden; 1x dislike venipuncture, 1x protocol violation; 1x chest pain, 1xpain unchanged or worse; 1x mood worse, 2x no specified reason, 1x lost to follow up) nortriptyline: 10 (4x time burden; 1x headaches; 1x rash; 3x pain unchanged or worse; 1x lost to follow up)	total pre: 78, post: 57, 21 withdrew (26.9%) c pre: 40 post: 29, 11 withdrew (27.5%) t pre: 38 post: 28, 10 withdrew (26.3%)",NA,NA,low back pain,musculoskeletal,primary
4,atkinson 1998,nortriptyline x descriptor_differential_scale,nortriptyline x descriptor_differential_scale,nortriptyline,nortriptyline,pain_int,pain_intensity_descriptor_differential_scale_post_intervention_change_in_score,post_int,descriptor_differential_scale,smd,2.59,NA,38,4,NA,0.6488856845230502,NA,NA,NA,NA,NA,NA,,antidepressant,tca,chronic low back pain,pain,parallel group,"a placebo-controlled randomized clinical trial of nortriptyline for chronic low back pain. to enhance generalizability to the ‘usual’ back pain patient, the study sample was recruited from primary care populations and community volunteers, rather than from pain clinic settings.","this  work  was  supported  in  part  by  the  united  statesdepartment of veterans affairs, and by the national insti-tutes  of  health  grant  mo1-rr00827.",j. hampton atkinson,NA,at least 6 months. 	(m (sd) years) c: 13.58 ± 12.94 t: 16.04 ± 11.25,inclusion  criteria were  (1)  age  21–65  years;  (2)  low  back  pain  (at  t-6  or below) present on a daily basis for the preceding 6 months or  longer;  and  (3)  able  to  understand  the  study  measures (based  on  an  8th  grade  literacy  level).,"individuals  were excluded  for  (1)  major  coexisting  medical  illness  (e.g.chronic  obstructive  pulmonary  disease  or  cardiac  disease, which  might  confound  assessment  of  function  or  health-related  quality  of  life);  (2)  coexisting  orthopedic  or  paind isorder  other than  those  related  to the  lumbar  lesion;  (3)current mood disorder (e.g. major depression, dysthymia, or bipolar  mood  disorder);  and  (4)  history  of a  psychoactive substance  use  disorder  within  the  preceding  12  months. individuals were required to discontinue opioid analgesics(e.g.  codeine)  for   the   duration  of  the   study,  although ongoing  use  of  non-opioids  (e.g.  aspirin,  non-steroidal anti-inflammatory drugs) was permitted.",78,"c: 40
t: 38
",NA,men with chronic low back pain,NA,"the prevalence  of side effects was high (100% in both groups for any effect reported for any week on study), particularly for dry mouth, insomnia, sedation, and lightheadedness. in general the frequency of side effects was higher for nortriptyline than for placebo, but none of these differences   was   statistically   significant   (chi   square,   all p’s.0.05).",NA,"placebo: 11 (2x time burden; 1x dislike venipuncture, 1x protocol violation; 1x chest pain, 1xpain unchanged or worse; 1x mood worse, 2x no specified reason, 1x lost to follow up) nortriptyline: 10 (4x time burden; 1x headaches; 1x rash; 3x pain unchanged or worse; 1x lost to follow up)	total pre: 78, post: 57, 21 withdrew (26.9%) c pre: 40 post: 29, 11 withdrew (27.5%) t pre: 38 post: 28, 10 withdrew (26.3%)",NA,NA,low back pain,musculoskeletal,primary
4,atkinson 1998,nortriptyline x descriptor_differential_scale,nortriptyline x descriptor_differential_scale,nortriptyline,nortriptyline,pain_int,pain_unpleasantness_descriptor_differential_scale_post_intervention_change_in_score,post_int,descriptor_differential_scale,smd,2.2,NA,38,3.78,NA,0.6131969718742825,NA,NA,NA,NA,NA,NA,,antidepressant,tca,chronic low back pain,pain,parallel group,"a placebo-controlled randomized clinical trial of nortriptyline for chronic low back pain. to enhance generalizability to the ‘usual’ back pain patient, the study sample was recruited from primary care populations and community volunteers, rather than from pain clinic settings.","this  work  was  supported  in  part  by  the  united  statesdepartment of veterans affairs, and by the national insti-tutes  of  health  grant  mo1-rr00827.",j. hampton atkinson,NA,at least 6 months. 	(m (sd) years) c: 13.58 ± 12.94 t: 16.04 ± 11.25,inclusion  criteria were  (1)  age  21–65  years;  (2)  low  back  pain  (at  t-6  or below) present on a daily basis for the preceding 6 months or  longer;  and  (3)  able  to  understand  the  study  measures (based  on  an  8th  grade  literacy  level).,"individuals  were excluded  for  (1)  major  coexisting  medical  illness  (e.g.chronic  obstructive  pulmonary  disease  or  cardiac  disease, which  might  confound  assessment  of  function  or  health-related  quality  of  life);  (2)  coexisting  orthopedic  or  paind isorder  other than  those  related  to the  lumbar  lesion;  (3)current mood disorder (e.g. major depression, dysthymia, or bipolar  mood  disorder);  and  (4)  history  of a  psychoactive substance  use  disorder  within  the  preceding  12  months. individuals were required to discontinue opioid analgesics(e.g.  codeine)  for   the   duration  of  the   study,  although ongoing  use  of  non-opioids  (e.g.  aspirin,  non-steroidal anti-inflammatory drugs) was permitted.",78,"c: 40
t: 38
",NA,men with chronic low back pain,NA,"the prevalence  of side effects was high (100% in both groups for any effect reported for any week on study), particularly for dry mouth, insomnia, sedation, and lightheadedness. in general the frequency of side effects was higher for nortriptyline than for placebo, but none of these differences   was   statistically   significant   (chi   square,   all p’s.0.05).",NA,"placebo: 11 (2x time burden; 1x dislike venipuncture, 1x protocol violation; 1x chest pain, 1xpain unchanged or worse; 1x mood worse, 2x no specified reason, 1x lost to follow up) nortriptyline: 10 (4x time burden; 1x headaches; 1x rash; 3x pain unchanged or worse; 1x lost to follow up)	total pre: 78, post: 57, 21 withdrew (26.9%) c pre: 40 post: 29, 11 withdrew (27.5%) t pre: 38 post: 28, 10 withdrew (26.3%)",NA,NA,low back pain,musculoskeletal,primary
3,atkinson 1999,maprotiline x descriptor_differential_scale,maprotiline (50-150mg) x descriptor_differential_scale,maprotiline,maprotiline (50-150mg),pain_int,pain_intensity_descriptor_differential_scale_post_intervention_completer_analysis_n_74,post_int,descriptor_differential_scale,smd,6.8,NA,20,4.72,NA,1.0554240853799006,NA,NA,NA,NA,NA,NA,,antidepressant,tetracyclic (teca),low back pain,pain,parallel group,effects of noradrenergic and serotonergic antidepressants on chronic low back pain intensity,"this work was supported in part by the united states
department of veterans affairs, and by the national institutes of health grant mo1-rr00827",j. hampton atkinson,NA,mean (sd) years = 14.5 (11.1),inclusion criteria were: (1) ages 21±65; (2) low back pain(at t-6 or below) present on a daily basis for the preceding six months or longer and (3) able to understand the study measures (based on an 8th grade literacy level).,"individuals were excluded for: (1) major coexisting medical illness (e.g.chronic obstructive pulmonary disease or cardiac disease);(2) coexisting orthopedic or pain disorder other than those related to the lumbar lesion; (3) current mood disorder (e.g.major depression, dysthymia, or bipolar mood disorder) and (4) history of a psychoactive substance use disorder within the  preceding  12  months.",103,"placebo: 36
maprotiline: 33
paroxetine: 34",NA,adults aged 21-65 years old with chronic low back pain,NA,n,NA,"total pre: 103, post: 29 (28.2%)",NA,NA,low back pain,musculoskeletal,primary
3,atkinson 1999,paroxetine x descriptor_differential_scale,paroxetine (10-30mg) x descriptor_differential_scale,paroxetine,paroxetine (10-30mg),pain_int,pain_intensity_descriptor_differential_scale_post_intervention_completer_analysis_n_74,post_int,descriptor_differential_scale,smd,8.2,NA,22,4,NA,0.8528028654224417,NA,NA,NA,NA,NA,NA,,antidepressant,ssri,low back pain,pain,parallel group,effects of noradrenergic and serotonergic antidepressants on chronic low back pain intensity,"this work was supported in part by the united states
department of veterans affairs, and by the national institutes of health grant mo1-rr00827",j. hampton atkinson,NA,mean (sd) years = 14.5 (11.1),inclusion criteria were: (1) ages 21±65; (2) low back pain(at t-6 or below) present on a daily basis for the preceding six months or longer and (3) able to understand the study measures (based on an 8th grade literacy level).,"individuals were excluded for: (1) major coexisting medical illness (e.g.chronic obstructive pulmonary disease or cardiac disease);(2) coexisting orthopedic or pain disorder other than those related to the lumbar lesion; (3) current mood disorder (e.g.major depression, dysthymia, or bipolar mood disorder) and (4) history of a psychoactive substance use disorder within the  preceding  12  months.",103,"placebo: 36
maprotiline: 33
paroxetine: 34",NA,adults aged 21-65 years old with chronic low back pain,NA,n,NA,"total pre: 103, post: 29 (28.2%)",NA,NA,low back pain,musculoskeletal,primary
